User Data :
Assigned Num:               test
User Gender:                
User age:                   
User dominant hand:         
Date :                      
Width and Height of Screen: 3000, 2000
Center of Circle X:         1500
Center of Circle Y:         1000


trial Number: 1 | Actual Quadrant: 1 | Actual Coord x: 1527.7901418470544 | Actual Coord y: 1307.6659854453715 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2011.002995277694 | Actual dot distance from center: 308.91851770968816 | User aprox distance from center: 1802.7756377319947 | Dot angle: 84.83872536215664 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8927124872172844 | Difference between radii: -1493.8571200223066

trial Number: 2 | Actual Quadrant: 2 | Actual Coord x: 1684.6067086455432 | Actual Coord y: 971.0250295697483 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1944.4252032064644 | Actual dot distance from center: 186.8667594527567 | User aprox distance from center: 1802.7756377319947 | Dot angle: -8.920093175389304 | User aprox angle: 33.690067525979785 | Difference between angles: -0.7436875990427869 | Difference between radii: -1615.908878279238

trial Number: 3 | Actual Quadrant: 3 | Actual Coord x: 1469.0082965987483 | Actual Coord y: 789.0257324744555 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1667.4972209820342 | Actual dot distance from center: 213.23842814476754 | User aprox distance from center: 1802.7756377319947 | Dot angle: 81.64313208791654 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8369388630272087 | Difference between radii: -1589.5372095872272

trial Number: 4 | Actual Quadrant: 4 | Actual Coord x: 1365.0152229107107 | Actual Coord y: 1024.5369455310608 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1706.7344584135205 | Actual dot distance from center: 137.19676286938906 | User aprox distance from center: 1802.7756377319947 | Dot angle: -10.30248751154874 | User aprox angle: 33.690067525979785 | Difference between angles: -0.7678149317696903 | Difference between radii: -1665.5788748626057

trial Number: 5 | Actual Quadrant: 4 | Actual Coord x: 1300.7767959093728 | Actual Coord y: 1110.1582214160321 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1710.1086367110897 | Actual dot distance from center: 227.6504311300096 | User aprox distance from center: 1802.7756377319947 | Dot angle: -28.939904452183487 | User aprox angle: 33.690067525979785 | Difference between angles: -1.0930992214507351 | Difference between radii: -1575.1252066019852

trial Number: 6 | Actual Quadrant: 4 | Actual Coord x: 1445.7397449243613 | Actual Coord y: 1031.489282268683 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1775.9880488024462 | Actual dot distance from center: 62.73555753055971 | User aprox distance from center: 1802.7756377319947 | Dot angle: -30.128217719507617 | User aprox angle: 33.690067525979785 | Difference between angles: -1.113839200510673 | Difference between radii: -1740.040080201435

trial Number: 7 | Actual Quadrant: 4 | Actual Coord x: 1241.7316877586752 | Actual Coord y: 1156.011561807467 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1696.543637934653 | Actual dot distance from center: 301.7318818514005 | User aprox distance from center: 1802.7756377319947 | Dot angle: -31.134820862500945 | User aprox angle: 33.690067525979785 | Difference between angles: -1.1314077396168298 | Difference between radii: -1501.0437558805943

